CompanyNumber,final_news_score,sentiment_direction
SC503909,,neutral
11147265,,neutral
13940915,,neutral
13752411,13.459335939216169,neutral
13579979,,neutral
12896857,,neutral
15921445,,neutral
4512173,,neutral
6297760,,neutral
4739933,15.881327601294789,positive
9176489,,neutral
12833273,,neutral
12796504,,neutral
14080906,,neutral
14155753,,neutral
15015693,,neutral
7842523,,neutral
15813627,,neutral
13868134,,neutral
6808053,,neutral
9147057,,neutral
12375955,18.939893499102105,positive
13582302,,neutral
4603581,,neutral
14905661,,neutral
8993317,,neutral
4337779,,neutral
13561101,,neutral
6865314,,neutral
12114274,,neutral
11979677,,neutral
12849027,,neutral
15938471,,neutral
12313145,,neutral
14920656,,neutral
4530161,,neutral
9559204,,neutral
13284916,,neutral
12439945,,neutral
9736995,,neutral
4043858,,neutral
9930322,,neutral
8849969,,neutral
9320505,,neutral
NI672584,,neutral
8585939,,neutral
9661349,,neutral
758182,,neutral
14462312,,neutral
15064115,,neutral
13453999,,neutral
16237159,,neutral
15908992,,neutral
14256649,,neutral
6640265,,neutral
13477655,,neutral
13894211,,neutral
16046179,,neutral
15407679,,neutral
11422187,,neutral
